PLZ,Ort
1945,Frauendorf
1945,Grünewald
1945,Guteborn
1945,Hermsdorf bei Ruhland
1945,Hohenbocka
1945,Kroppen
1945,Lindenau (Oberlausitz)
1945,Ruhland
1945,Schwarzbach (Lausitz)
1945,Tettau (Brandenburg)
1945,Senftenberg
1968,Senftenberg
1968,Schipkau
1979,Lauchhammer
1983,Großräschen
1987,Schwarzheide
1990,Großkmehlen
1990,Ortrand
1993,Schipkau
1994,Schipkau
1996,Senftenberg
1998,Schipkau
3042,Cottbus
3044,Cottbus
3046,Cottbus
3048,Cottbus
3050,Cottbus
3051,Cottbus
3052,Cottbus
3053,Cottbus
3054,Cottbus
3055,Cottbus
3058,Neuhausen/Spree
3096,Briesen (Spreewald)
3096,Burg (Spreewald)
3096,Dissen-Striesow
3096,Guhrow
3096,Schmogrow-Fehrow
3096,Werben (Spreewald)
3099,Kolkwitz
3103,Neupetershain
3103,Neu-Seeland
3116,Drebkau
3119,Welzow
3130,Felixsee
3130,Jämlitz-Klein Düben
3130,Spremberg
3130,Tschernitz
3149,Forst (Lausitz)
3149,Groß Schacksdorf-Simmersdorf
3149,Wiesengrund
3159,Döbern
3159,Neiße-Malxetal
3172,Guben
3172,Schenkendöbern
3172,Jänschwalde
3185,Drachhausen
3185,Drehnow
3185,Heinersbrück
3185,Peitz
3185,Tauer
3185,Teichland
3185,Turnow-Preilack
3197,Jänschwalde
3205,Bronkow
3205,Calau
3222,Lübbenau/Spreewald
3226,Vetschau/Spreewald
3229,Altdöbern
3229,Luckaitztal
3238,Finsterwalde
3238,Rückersdorf (Niederlausitz)
3238,Sallgast
3238,Gorden-Staupitz
3238,Heideland (Brandenburg)
3238,Lichterfeld-Schacksdorf
3238,Massen-Niederlausitz
3246,Massen-Niederlausitz
3246,Crinitz
3249,Sonnewalde
3253,Doberlug-Kirchhain
3253,Schilda
3253,Schönborn (Niederlausitz)
3253,Tröbitz
4895,Falkenberg/Elster
4895,Bad Liebenwerda
4895,Mühlberg/Elbe
4895,Uebigau-Wahrenbrück
4910,Elsterwerda
4916,Herzberg (Elster)
4916,Schönewalde
4916,Kremitzaue
4924,Bad Liebenwerda
4924,Uebigau-Wahrenbrück
4928,Plessa
4928,Schraden
4931,Bad Liebenwerda
4931,Mühlberg/Elbe
4932,Gröden
4932,Großthiemig
4932,Hirschfeld (Brandenburg)
4932,Merzdorf
4932,Röderland
4934,Hohenleipisch
4936,Kremitzaue
4936,Hohenbucko
4936,Lebusa
4936,Schlieben
4936,Fichtwald
4938,Uebigau-Wahrenbrück
12529,Schönefeld
14467,Potsdam
14469,Potsdam
14471,Potsdam
14473,Potsdam
14476,Potsdam
14478,Potsdam
14480,Potsdam
14482,Potsdam
14513,Teltow
14532,Kleinmachnow
14532,Stahnsdorf
14542,Werder (Havel)
14547,Beelitz
14548,Schwielowsee
14550,Groß Kreutz (Havel)
14552,Michendorf
14554,Seddiner See
14558,Nuthetal
14612,Falkensee
14621,Schönwalde-Glien
14624,Dallgow-Döberitz
14641,Nauen
14641,Paulinenaue
14641,Pessin
14641,Retzow
14641,Wustermark
14656,Brieselang
14662,Friesack
14662,Mühlenberge
14662,Wiesenaue
14669,Ketzin/Havel
14712,Rathenow
14715,Havelaue
14715,Kotzen
14715,Märkisch Luch
14715,Nennhausen
14715,Seeblick
14715,Stechow-Ferchesar
14715,Milower Land
14727,Premnitz
14728,Gollenberg (Havelland)
14728,Kleßen-Görne
14728,Rhinow
14770,Brandenburg an der Havel
14772,Brandenburg an der Havel
14774,Brandenburg an der Havel
14776,Brandenburg an der Havel
14778,Beetzsee
14778,Beetzseeheide
14778,Golzow (Mittelmark)
14778,Päwesin
14778,Roskow
14778,Wenzlow
14778,Wollin (Fläming)
14789,Bensdorf
14789,Rosenau (Brandenburg)
14789,Wusterwitz
14793,Buckautal
14793,Gräben
14793,Ziesar
14797,Kloster Lehnin
14798,Havelsee
14806,Bad Belzig
14806,Planetal
14822,Borkheide
14822,Borkwalde
14822,Brück
14822,Linthe
14822,Planebruch
14822,Mühlenfließ
14823,Mühlenfließ
14823,Niemegk
14823,Rabenstein/Fläming
14827,Wiesenburg/Mark
14828,Görzke
14913,Jüterbog
14913,Niederer Fläming
14913,Niedergörsdorf
14929,Treuenbrietzen
14943,Luckenwalde
14947,Nuthe-Urstromtal
14959,Trebbin
14974,Ludwigsfelde
14979,Großbeeren
15230,Frankfurt (Oder)
15232,Frankfurt (Oder)
15234,Frankfurt (Oder)
15236,Frankfurt (Oder)
15236,Jacobsdorf
